"id","category_id","event_id","created_at"
1,1,1,"2025-05-20 05:30:44.104762+00"
2,1,2,"2025-05-20 05:30:50.38681+00"
3,1,3,"2025-05-20 05:30:56.293879+00"
4,2,4,"2025-05-20 05:31:27.078756+00"
5,2,5,"2025-05-20 05:31:31.658285+00"
6,2,6,"2025-05-20 05:31:35.613022+00"
7,2,7,"2025-05-20 05:31:39.194992+00"
8,3,8,"2025-05-20 05:33:05.722356+00"
9,3,9,"2025-05-20 05:33:09.078829+00"
10,3,10,"2025-05-20 05:33:12.671967+00"
11,3,2,"2025-05-20 05:34:29.400268+00"
12,4,15,"2025-05-20 05:35:58.427958+00"
13,5,12,"2025-05-20 05:37:45.530059+00"
14,5,13,"2025-05-20 05:37:48.635472+00"
15,5,14,"2025-05-20 05:37:53.452933+00"
16,6,11,"2025-05-20 05:38:38.032745+00"
