"id","code","fips","name","status","created_by","updated_by","created_at","updated_at"
2,"AL","01","Alabama",True,1,NULL,"2025-05-15 06:09:21.597961+00",NULL
3,"AK","02","Alaska",True,1,NULL,"2025-05-15 06:09:21.613057+00",NULL
4,"AZ","04","Arizona",True,1,NULL,"2025-05-15 06:09:21.620017+00",NULL
5,"AR","05","Arkansas",True,1,NULL,"2025-05-15 06:09:21.627259+00",NULL
6,"CA","06","California",True,1,NULL,"2025-05-15 06:09:21.633239+00",NULL
7,"CO","08","Colorado",True,1,NULL,"2025-05-15 06:09:21.639507+00",NULL
8,"CT","09","Connecticut",True,1,NULL,"2025-05-15 06:09:21.645889+00",NULL
9,"DE","10","Delaware",True,1,NULL,"2025-05-15 06:09:21.650797+00",NULL
10,"FL","12","Florida",True,1,NULL,"2025-05-15 06:09:21.656473+00",NULL
11,"GA","13","Georgia",True,1,NULL,"2025-05-15 06:09:21.662779+00",NULL
12,"HI","15","Hawaii",True,1,NULL,"2025-05-15 06:09:21.668888+00",NULL
13,"ID","16","Idaho",True,1,NULL,"2025-05-15 06:09:21.675586+00",NULL
14,"IL","17","Illinois",True,1,NULL,"2025-05-15 06:09:21.680953+00",NULL
15,"IN","18","Indiana",True,1,NULL,"2025-05-15 06:09:21.686903+00",NULL
16,"IA","19","Iowa",True,1,NULL,"2025-05-15 06:09:21.692965+00",NULL
17,"KS","20","Kansas",True,1,NULL,"2025-05-15 06:09:21.698292+00",NULL
18,"KY","21","Kentucky",True,1,NULL,"2025-05-15 06:09:21.704414+00",NULL
19,"LA","22","Louisiana",True,1,NULL,"2025-05-15 06:09:21.711341+00",NULL
20,"ME","23","Maine",True,1,NULL,"2025-05-15 06:09:21.716476+00",NULL
21,"MD","24","Maryland",True,1,NULL,"2025-05-15 06:09:21.722364+00",NULL
22,"MA","25","Massachusetts",True,1,NULL,"2025-05-15 06:09:21.728537+00",NULL
23,"MI","26","Michigan",True,1,NULL,"2025-05-15 06:09:21.733912+00",NULL
24,"MN","27","Minnesota",True,1,NULL,"2025-05-15 06:09:21.740501+00",NULL
25,"MS","28","Mississippi",True,1,NULL,"2025-05-15 06:09:21.746599+00",NULL
26,"MO","29","Missouri",True,1,NULL,"2025-05-15 06:09:21.752296+00",NULL
27,"MT","30","Montana",True,1,NULL,"2025-05-15 06:09:21.758948+00",NULL
28,"NE","31","Nebraska",True,1,NULL,"2025-05-15 06:09:21.764527+00",NULL
29,"NV","32","Nevada",True,1,NULL,"2025-05-15 06:09:21.769771+00",NULL
30,"NH","33","New Hampshire",True,1,NULL,"2025-05-15 06:09:21.776434+00",NULL
31,"NJ","34","New Jersey",True,1,NULL,"2025-05-15 06:09:21.782408+00",NULL
32,"NM","35","New Mexico",True,1,NULL,"2025-05-15 06:09:21.787697+00",NULL
33,"NY","36","New York",True,1,NULL,"2025-05-15 06:09:21.793665+00",NULL
34,"NC","37","North Carolina",True,1,NULL,"2025-05-15 06:09:21.799136+00",NULL
35,"ND","38","North Dakota",True,1,NULL,"2025-05-15 06:09:21.804859+00",NULL
36,"OH","39","Ohio",True,1,NULL,"2025-05-15 06:09:21.811079+00",NULL
37,"OK","40","Oklahoma",True,1,NULL,"2025-05-15 06:09:21.816222+00",NULL
38,"OR","41","Oregon",True,1,NULL,"2025-05-15 06:09:21.821931+00",NULL
39,"PA","42","Pennsylvania",True,1,NULL,"2025-05-15 06:09:21.828758+00",NULL
40,"RI","44","Rhode Island",True,1,NULL,"2025-05-15 06:09:21.83413+00",NULL
41,"SC","45","South Carolina",True,1,NULL,"2025-05-15 06:09:21.840034+00",NULL
42,"SD","46","South Dakota",True,1,NULL,"2025-05-15 06:09:21.8461+00",NULL
43,"TN","47","Tennessee",True,1,NULL,"2025-05-15 06:09:21.851598+00",NULL
44,"TX","48","Texas",True,1,NULL,"2025-05-15 06:09:21.857374+00",NULL
45,"UT","49","Utah",True,1,NULL,"2025-05-15 06:09:21.864108+00",NULL
46,"VT","50","Vermont",True,1,NULL,"2025-05-15 06:09:21.869426+00",NULL
47,"VA","51","Virginia",True,1,NULL,"2025-05-15 06:09:21.876996+00",NULL
48,"WA","53","Washington",True,1,NULL,"2025-05-15 06:09:21.884835+00",NULL
49,"WV","54","West Virginia",True,1,NULL,"2025-05-15 06:09:21.89208+00",NULL
50,"WI","55","Wisconsin",True,1,NULL,"2025-05-15 06:09:21.898793+00",NULL
51,"WY","56","Wyoming",True,1,NULL,"2025-05-15 06:09:21.903779+00",NULL
